baseball	economics	politics	Europe	Asia	soccer	war	security	shopping	family
doc1	1	0	1	0	1	1	0	0	0	1
doc2	0	1	1	1	0	0	0	1	0	0
doc3	0	0	0	1	1	1	0	0	0	0
doc4	0	0	1	1	0	0	1	1	0	0
doc5	0	1	0	0	0	0	0	0	1	1
doc6	1	0	0	1	0	0	0	0	0	0
doc7	0	0	0	0	0	0	0	1	0	1
doc8	0	0	1	1	0	0	1	0	0	1
doc9	0	0	0	0	0	1	0	0	1	0
doc10	0	1	0	0	1	0	1	0	0	0
doc11	0	0	1	0	1	0	0	0	1	0
doc12	1	0	0	0	0	1	1	0	0	0
doc13	0	0	1	1	1	0	0	1	0	0
doc14	0	1	1	1	0	0	0	0	1	0
doc15	0	0	0	1	0	1	1	1	0	0
doc16	1	0	0	0	0	1	0	0	1	0
doc17	0	1	1	1	0	0	0	1	0	0
doc18	0	0	0	1	0	0	0	0	1	0
doc19	0	1	1	0	1	0	1	0	0	1
doc20	0	0	1	1	0	0	1	0	1	0
